"Country","Region","Month","Female","Male","Hotelstay","Otherstay","Age0to12","Age13to20","Age21to35","Age36to49","Age50over","Leisure","Business","Conf_Convention","Education","Friend_Family","Otherreason"
"Dom. Residents",NA,2022-01-01,41839,30911,1303,71447,8638,7790,16942,17544,21836,43867,1088,423,680,9052,17640
"Ext. Residents",NA,2022-01-01,6509,7227,1072,12664,2004,1049,3262,3542,3879,7710,1290,65,354,1457,2860
"Dom. Non-Residents",NA,2022-01-01,50532,43744,3568,90708,1907,3696,22135,25082,41456,55245,1212,162,333,29185,8139
"Canada","North America",2022-01-01,18416,18241,29499,7158,2942,2766,9919,8446,12584,34772,357,38,8,802,680
"United States","North America",2022-01-01,76796,77952,98830,55918,15167,9009,45618,40002,44952,129058,4212,791,544,13487,6656
"Mexico","North America",2022-01-01,1188,1952,2012,1128,123,120,1142,1047,708,1946,524,100,12,229,329
"Aruba","Caribbean",2022-01-01,27,44,9,62,7,10,19,12,23,24,1,0,2,27,17
"Turk and Caicos Islands","Caribbean",2022-01-01,63,110,66,107,13,4,46,49,61,99,2,1,0,14,57
"Costa Rica","Central America",2022-01-01,300,351,358,293,45,38,190,206,172,414,122,9,1,57,48
"Cuba","Caribbean",2022-01-01,382,585,307,660,19,32,169,313,434,600,81,17,5,135,129
"Curaçao","Caribbean",2022-01-01,76,147,70,153,18,14,49,63,79,109,8,8,2,35,61
"El Salvador","Central America",2022-01-01,75,103,89,89,10,8,67,46,47,108,38,5,2,14,11
"Guadeloupe","Caribbean",2022-01-01,121,166,83,204,22,8,54,81,122,139,26,4,3,56,59
"Guatemala","Central America",2022-01-01,263,427,434,256,43,44,213,254,136,382,177,22,7,33,69
"Haiti","Caribbean",2022-01-01,628,943,615,956,70,59,646,511,285,647,183,20,52,233,436
"Honduras","Central America",2022-01-01,96,109,86,119,9,8,85,62,41,117,28,3,7,30,20
"Jamaica","Caribbean",2022-01-01,53,71,59,65,3,3,60,43,15,68,22,3,1,13,17
"Martinique","Caribbean",2022-01-01,79,130,99,110,6,5,53,61,84,94,20,1,0,44,50
"Panama","Central America",2022-01-01,723,893,884,732,197,162,484,426,347,972,274,24,23,191,132
"Puerto Rico","Caribbean",2022-01-01,1618,2266,1620,2264,208,231,1111,1092,1242,2413,311,36,125,594,405
"Saint Martin","Caribbean",2022-01-01,24,42,23,43,3,2,14,16,31,43,1,0,0,14,8
"Trinidad and Tobago","Caribbean",2022-01-01,21,24,20,25,5,0,12,17,11,24,3,2,0,8,8
"U.S. Virgin Islands","Caribbean",2022-01-01,46,44,43,47,13,5,26,24,22,64,3,1,0,14,8
"Other America","North America",2022-01-01,182,358,211,329,49,29,164,178,120,279,34,24,13,71,119
"Argentina","South America",2022-01-01,6395,5917,10461,1851,2014,1374,2436,3206,3282,11978,85,15,2,104,128
"Bolivia","South America",2022-01-01,572,464,827,209,192,105,276,257,206,1003,12,1,0,8,12
"Brazil","South America",2022-01-01,2469,2420,4141,748,663,445,1182,1555,1044,4378,195,15,6,62,233
"Chile","South America",2022-01-01,5038,4369,7664,1743,1592,1059,2471,2531,1754,8966,59,10,3,250,119
"Colombia","South America",2022-01-01,8678,7342,11551,4469,1730,1285,4982,4122,3901,14785,414,82,22,424,293
"Ecuador","South America",2022-01-01,475,458,638,295,38,109,460,213,113,742,34,76,11,43,27
"Peru","South America",2022-01-01,2211,1864,3112,963,538,385,1158,1146,848,3656,120,7,4,126,162
"Uruguay","South America",2022-01-01,679,581,1068,192,160,113,404,293,290,1231,8,7,0,9,5
"Venezuela","South America",2022-01-01,4959,5138,2411,7686,860,1159,1831,2070,4177,3899,308,30,82,713,5065
"Other South America","South America",2022-01-01,824,708,1256,276,278,161,412,365,316,1485,4,4,0,22,17
"China","Asia",2022-01-01,21,25,15,31,0,4,21,10,11,14,17,1,1,5,8
"South Korea","Asia",2022-01-01,20,45,32,33,3,3,15,28,16,20,24,0,1,2,18
"India","Asia",2022-01-01,13,44,28,29,4,0,25,15,13,24,6,0,0,4,23
"Israel","Asia",2022-01-01,101,123,153,71,13,10,99,50,52,191,8,1,0,4,20
"Japan","Asia",2022-01-01,16,28,16,28,4,0,15,13,12,16,14,0,1,10,3
"Taiwan","Asia",2022-01-01,5,7,7,5,1,1,4,4,2,4,2,0,0,5,1
"Other Asia","Asia",2022-01-01,451,881,578,754,92,45,634,389,172,690,88,2,1,55,496
"Germany","Europe",2022-01-01,8586,9128,14393,3321,916,362,5569,3785,7082,13394,909,20,25,547,2819
"Austria","Europe",2022-01-01,743,838,1212,369,80,33,483,359,626,1268,27,0,8,97,181
"Belgium","Europe",2022-01-01,1746,1512,2638,620,257,152,1089,715,1045,2756,202,4,2,132,162
"Bulgaria","Europe",2022-01-01,447,417,742,122,34,43,231,319,237,813,9,0,0,6,36
"Denmark","Europe",2022-01-01,195,203,283,115,20,15,161,73,129,290,76,0,0,17,15
"Scotland","Europe",2022-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-01-01,5119,5783,6453,4449,1275,619,2625,3108,3275,7710,777,48,44,1573,750
"Finland","Europe",2022-01-01,81,89,82,88,5,7,83,34,41,151,4,0,1,10,4
"France","Europe",2022-01-01,12009,11306,19373,3942,1228,378,6100,5343,10266,21065,557,126,13,656,898
"Greece","Europe",2022-01-01,38,65,60,43,3,0,51,31,18,66,17,1,0,9,10
"Netherlands","Europe",2022-01-01,898,988,1237,649,169,101,830,377,409,1387,66,5,5,281,142
"Hungary","Europe",2022-01-01,1067,1033,1835,265,167,103,497,675,658,1974,3,0,1,23,99
"United Kingdom","Europe",2022-01-01,5984,5561,10526,1019,776,310,3889,2587,3983,10985,263,11,3,149,134
"Ireland","Europe",2022-01-01,99,104,144,59,14,5,82,61,41,171,5,3,0,17,7
"Italy","Europe",2022-01-01,3336,4082,4723,2695,553,272,2104,1728,2761,5650,510,4,11,871,372
"Luxembourg","Europe",2022-01-01,72,82,128,26,7,1,67,37,42,137,0,0,0,10,7
"Norway","Europe",2022-01-01,84,106,90,100,11,20,80,33,46,155,3,0,1,22,9
"Poland","Europe",2022-01-01,5300,4926,9228,998,1465,800,2153,3746,2062,9451,130,3,3,44,595
"Portugal","Europe",2022-01-01,737,757,1214,280,174,59,428,475,358,1351,47,0,0,23,73
"Czech Republic","Europe",2022-01-01,1656,1657,2740,573,300,129,856,984,1044,3091,31,2,0,35,154
"Romania","Europe",2022-01-01,925,892,1526,291,186,57,572,714,288,1678,18,0,0,20,101
"Russia","Europe",2022-01-01,27505,22818,41540,8783,7306,3026,16634,16323,7034,49667,119,13,7,42,475
"Sweden","Europe",2022-01-01,160,177,240,97,22,21,121,89,84,291,14,0,0,17,15
"Switzerland","Europe",2022-01-01,2034,2195,3066,1163,253,147,1471,766,1592,3208,164,2,1,439,415
"Ukraine","Europe",2022-01-01,5689,4767,9176,1280,1525,787,3112,3606,1426,9961,52,0,1,9,433
"Other Europe","Europe",2022-01-01,1442,1542,2292,692,305,102,1001,939,637,2700,47,0,1,95,141
"Australia","Australia",2022-01-01,29,56,56,29,4,6,25,26,24,63,2,1,0,9,10
"Other Rest of the World","Other",2022-01-01,52,88,75,65,3,0,63,50,24,80,19,2,1,9,29
"Dom. Residents",NA,2022-02-01,17896,14868,911,31853,1677,1759,9468,9172,10688,18987,1220,487,353,3681,8036
"Ext. Residents",NA,2022-02-01,3770,4629,1323,7076,932,414,2048,2337,2668,5267,803,59,106,805,1359
"Dom. Non-Residents",NA,2022-02-01,49695,42127,4302,87520,1798,3223,21632,26401,38768,55472,1376,239,241,26726,7768
"Canada","North America",2022-02-01,27634,25078,44199,8513,5227,4165,11927,12413,18980,50979,405,48,41,660,579
"United States","North America",2022-02-01,93636,94811,122719,65728,21442,10470,49751,52115,54669,160458,5010,1062,197,15610,6110
"Mexico","North America",2022-02-01,1299,1639,1998,940,102,93,1015,1098,630,1554,617,274,13,203,277
"Aruba","Caribbean",2022-02-01,54,64,56,62,7,15,27,32,37,44,6,3,0,25,40
"Turk and Caicos Islands","Caribbean",2022-02-01,87,171,108,150,13,6,69,92,78,139,10,0,0,22,87
"Costa Rica","Central America",2022-02-01,181,335,320,196,8,9,123,204,172,224,198,16,6,25,47
"Cuba","Caribbean",2022-02-01,281,340,198,423,22,23,154,177,245,374,45,25,1,86,90
"Curaçao","Caribbean",2022-02-01,100,146,93,153,27,26,47,76,70,135,14,0,4,30,63
"El Salvador","Central America",2022-02-01,153,156,198,111,11,27,115,101,55,174,46,24,0,5,60
"Guadeloupe","Caribbean",2022-02-01,209,252,196,265,65,23,69,129,175,249,49,1,2,93,67
"Guatemala","Central America",2022-02-01,272,387,502,157,29,35,236,215,144,368,179,36,1,29,46
"Haiti","Caribbean",2022-02-01,966,1135,819,1282,121,77,825,646,432,965,183,33,44,350,526
"Honduras","Central America",2022-02-01,128,144,164,108,5,26,99,78,64,96,31,27,3,25,90
"Jamaica","Caribbean",2022-02-01,90,114,126,78,3,14,83,62,42,89,62,9,0,11,33
"Martinique","Caribbean",2022-02-01,188,210,207,191,50,23,71,114,140,240,30,31,0,48,49
"Panama","Central America",2022-02-01,1056,1256,1524,788,261,151,636,756,508,1532,429,45,5,139,162
"Puerto Rico","Caribbean",2022-02-01,2348,3122,2915,2555,218,181,1340,1835,1896,3759,446,58,44,717,446
"Saint Martin","Caribbean",2022-02-01,55,114,41,128,30,9,34,55,41,84,4,7,1,50,23
"Trinidad and Tobago","Caribbean",2022-02-01,59,46,69,36,2,14,32,34,23,45,13,5,0,4,38
"U.S. Virgin Islands","Caribbean",2022-02-01,36,56,32,60,11,4,17,22,38,51,9,0,1,18,13
"Other America","North America",2022-02-01,350,432,393,389,31,94,260,230,167,296,86,46,4,98,252
"Argentina","South America",2022-02-01,6676,5989,10919,1746,2116,1321,2207,3365,3656,12289,72,53,5,142,104
"Bolivia","South America",2022-02-01,404,360,610,154,151,60,184,238,131,730,4,5,0,14,11
"Brazil","South America",2022-02-01,1655,1727,2801,581,291,153,1084,1161,693,2720,162,185,4,61,250
"Chile","South America",2022-02-01,5447,4863,8356,1954,1586,1111,2993,2548,2072,9886,47,6,1,265,105
"Colombia","South America",2022-02-01,5707,4854,7322,3239,632,431,3605,3260,2633,8955,559,372,16,412,247
"Ecuador","South America",2022-02-01,1452,1264,1939,777,202,152,1068,824,470,2278,24,260,2,75,77
"Peru","South America",2022-02-01,3066,2528,4414,1180,743,515,1425,1593,1318,5081,115,188,3,115,92
"Uruguay","South America",2022-02-01,586,541,932,195,178,103,284,337,225,1078,14,2,0,17,16
"Venezuela","South America",2022-02-01,2590,2571,1153,4008,254,556,989,1100,2262,2123,242,46,47,355,2348
"Other South America","South America",2022-02-01,561,451,814,198,124,79,316,260,233,967,12,15,0,4,14
"China","Asia",2022-02-01,17,31,12,36,0,2,23,14,9,10,22,0,0,6,10
"South Korea","Asia",2022-02-01,12,40,19,33,4,3,7,25,13,17,26,2,1,4,2
"India","Asia",2022-02-01,13,79,27,65,2,0,56,25,9,18,12,0,0,5,57
"Israel","Asia",2022-02-01,108,145,179,74,8,4,113,49,79,195,26,0,0,9,23
"Japan","Asia",2022-02-01,3,17,11,9,0,0,7,4,9,8,7,0,0,2,3
"Taiwan","Asia",2022-02-01,1,6,4,3,0,0,3,4,0,0,3,0,0,1,3
"Other Asia","Asia",2022-02-01,458,822,677,603,45,39,599,457,140,714,78,6,3,94,385
"Germany","Europe",2022-02-01,8034,8243,13216,3061,839,577,5109,3555,6197,12427,829,22,29,583,2387
"Austria","Europe",2022-02-01,729,757,1226,260,84,56,473,330,543,1188,38,7,1,67,185
"Belgium","Europe",2022-02-01,1593,1419,2411,601,307,242,828,746,889,2537,181,5,1,145,143
"Bulgaria","Europe",2022-02-01,467,408,762,113,46,28,271,313,217,825,4,0,0,7,39
"Denmark","Europe",2022-02-01,263,245,387,121,86,54,109,115,144,451,12,0,0,37,8
"Scotland","Europe",2022-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-02-01,4674,5093,6309,3458,995,338,2359,2920,3155,7163,782,70,46,1157,549
"Finland","Europe",2022-02-01,37,41,33,45,7,4,32,19,16,60,3,1,0,11,3
"France","Europe",2022-02-01,17545,15908,27109,6344,5777,3939,6121,9427,8189,30820,554,31,13,945,1090
"Greece","Europe",2022-02-01,14,43,38,19,1,2,28,13,13,28,6,0,0,2,21
"Netherlands","Europe",2022-02-01,990,997,1405,582,218,135,724,473,437,1566,64,2,1,202,152
"Hungary","Europe",2022-02-01,779,730,1289,220,147,71,340,506,445,1427,3,1,2,15,61
"United Kingdom","Europe",2022-02-01,6608,6056,11473,1191,1452,684,3483,2935,4110,12200,189,7,6,145,117
"Ireland","Europe",2022-02-01,129,107,167,69,31,14,70,85,36,229,1,0,0,3,3
"Italy","Europe",2022-02-01,2396,2968,3341,2023,366,205,1418,1229,2146,3990,413,7,2,699,253
"Luxembourg","Europe",2022-02-01,148,143,218,73,23,21,124,65,58,251,2,0,0,17,21
"Norway","Europe",2022-02-01,85,111,97,99,20,17,62,48,49,160,3,0,1,26,6
"Poland","Europe",2022-02-01,4416,3976,7541,851,1038,712,1867,2819,1956,7852,82,9,1,30,418
"Portugal","Europe",2022-02-01,892,866,1483,275,191,82,462,546,477,1633,35,1,0,31,58
"Czech Republic","Europe",2022-02-01,2126,1924,3325,725,458,261,855,1183,1293,3861,13,1,3,25,147
"Romania","Europe",2022-02-01,711,676,1229,158,97,36,563,459,232,1286,22,2,3,15,59
"Russia","Europe",2022-02-01,23774,18931,35592,7113,5489,1712,15497,13801,6206,42195,98,11,6,24,371
"Sweden","Europe",2022-02-01,157,159,144,172,52,34,62,92,76,266,5,1,0,37,7
"Switzerland","Europe",2022-02-01,2618,2391,3679,1330,533,299,1756,994,1427,3865,139,6,3,503,493
"Ukraine","Europe",2022-02-01,3088,2517,4895,710,627,300,1972,1857,849,5291,41,2,9,8,254
"Other Europe","Europe",2022-02-01,1453,1498,2319,632,302,136,936,880,697,2637,72,43,3,67,129
"Australia","Australia",2022-02-01,20,41,27,34,4,3,26,18,10,28,11,2,0,13,7
"Other Rest of the World","Other",2022-02-01,72,113,108,77,13,4,52,69,47,97,28,9,3,14,34
"Dom. Residents",NA,2022-03-01,20032,17449,986,36495,1556,1869,10569,10771,12716,21052,1547,1051,399,4219,9213
"Ext. Residents",NA,2022-03-01,4110,5025,1265,7870,932,406,2300,2536,2961,5583,901,110,105,962,1474
"Dom. Non-Residents",NA,2022-03-01,53658,44894,5007,93545,1640,3076,22825,27121,43890,58807,1638,283,326,28754,8744
"Canada","North America",2022-03-01,45665,40472,77140,8997,11101,7292,14438,21319,31987,83848,469,230,2,730,858
"United States","North America",2022-03-01,126224,119283,170166,75341,26490,27232,71002,61571,59212,212198,6064,1773,595,16902,7975
"Mexico","North America",2022-03-01,1472,2178,2518,1132,137,118,1310,1227,858,2195,732,218,8,216,281
"Aruba","Caribbean",2022-03-01,45,58,21,82,9,7,24,22,41,47,6,0,0,23,27
"Turk and Caicos Islands","Caribbean",2022-03-01,81,149,94,136,8,7,64,82,69,122,12,1,0,29,66
"Costa Rica","Central America",2022-03-01,251,445,476,220,9,14,172,307,194,268,275,73,4,29,47
"Cuba","Caribbean",2022-03-01,236,302,199,339,5,9,119,152,253,262,44,53,3,90,86
"Curaçao","Caribbean",2022-03-01,97,140,124,113,9,28,39,67,94,108,15,7,0,39,68
"El Salvador","Central America",2022-03-01,192,218,222,188,11,21,232,83,63,286,62,29,0,17,16
"Guadeloupe","Caribbean",2022-03-01,135,196,155,176,26,5,88,92,120,156,66,0,0,33,76
"Guatemala","Central America",2022-03-01,344,539,634,249,40,44,359,282,158,495,234,59,2,65,28
"Haiti","Caribbean",2022-03-01,859,1036,791,1104,53,55,797,593,397,916,195,67,46,306,365
"Honduras","Central America",2022-03-01,195,183,201,177,23,28,156,115,56,224,54,26,2,34,38
"Jamaica","Caribbean",2022-03-01,99,123,140,82,6,13,84,66,53,143,35,4,0,11,29
"Martinique","Caribbean",2022-03-01,99,165,97,167,9,3,55,86,111,140,27,4,0,42,51
"Panama","Central America",2022-03-01,916,1227,1398,745,80,92,751,775,445,1021,587,188,12,139,196
"Puerto Rico","Caribbean",2022-03-01,2628,3446,3364,2710,249,241,1546,1943,2095,3958,593,243,37,711,532
"Saint Martin","Caribbean",2022-03-01,30,70,31,69,7,2,25,18,48,32,5,1,1,41,20
"Trinidad and Tobago","Caribbean",2022-03-01,56,84,77,63,4,9,44,55,28,66,16,25,0,4,29
"U.S. Virgin Islands","Caribbean",2022-03-01,47,111,80,78,22,29,16,39,52,99,9,4,0,26,20
"Other America","North America",2022-03-01,189,305,244,250,29,60,136,161,108,237,65,15,3,57,117
"Argentina","South America",2022-03-01,6879,6092,11604,1367,1323,676,2657,3045,5270,12502,129,61,3,121,155
"Bolivia","South America",2022-03-01,349,307,559,97,69,50,208,171,158,585,9,14,1,15,32
"Brazil","South America",2022-03-01,1889,1988,3255,622,191,98,1475,1237,876,3191,230,114,1,76,265
"Chile","South America",2022-03-01,3673,3328,5935,1066,754,400,2567,1848,1432,6471,93,86,2,262,87
"Colombia","South America",2022-03-01,8180,6793,11127,3846,826,621,5338,4349,3839,12439,782,905,27,430,390
"Ecuador","South America",2022-03-01,1878,1491,2453,916,327,316,1302,874,550,3053,73,119,2,63,59
"Peru","South America",2022-03-01,2873,2257,4006,1124,361,334,1747,1351,1337,4703,141,58,9,112,107
"Uruguay","South America",2022-03-01,605,547,1044,108,114,41,371,274,352,1090,28,14,1,14,5
"Venezuela","South America",2022-03-01,2311,2691,1045,3957,202,609,1042,1147,2002,2022,345,30,32,374,2199
"Other South America","South America",2022-03-01,546,301,711,136,39,67,342,219,180,679,30,85,1,8,44
"China","Asia",2022-03-01,40,77,49,68,1,8,75,23,10,58,30,1,0,12,16
"South Korea","Asia",2022-03-01,21,59,30,50,1,4,21,32,22,17,34,2,0,18,9
"India","Asia",2022-03-01,25,116,45,96,2,10,73,41,15,45,16,1,0,4,75
"Israel","Asia",2022-03-01,103,127,174,56,1,4,101,55,69,175,17,3,0,9,26
"Japan","Asia",2022-03-01,11,23,11,23,4,6,11,8,5,9,8,1,1,11,4
"Taiwan","Asia",2022-03-01,3,6,4,5,1,0,3,2,3,6,0,0,0,1,2
"Other Asia","Asia",2022-03-01,379,846,480,745,42,58,607,366,152,388,88,0,4,70,675
"Germany","Europe",2022-03-01,11445,11152,19421,3176,986,603,8265,4405,8338,17686,956,33,19,619,3284
"Austria","Europe",2022-03-01,692,718,1185,225,46,19,484,313,548,1107,41,3,0,68,191
"Belgium","Europe",2022-03-01,1464,1307,2297,474,189,85,987,625,885,2321,168,7,3,148,124
"Bulgaria","Europe",2022-03-01,435,364,658,141,54,26,245,267,207,740,20,0,0,9,30
"Denmark","Europe",2022-03-01,146,125,163,108,25,18,107,49,72,221,12,0,0,21,17
"Scotland","Europe",2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-03-01,4956,5841,7611,3186,821,288,2727,3412,3549,7915,1012,189,28,1070,583
"Finland","Europe",2022-03-01,50,66,75,41,7,0,51,25,33,104,6,0,0,3,3
"France","Europe",2022-03-01,12832,11517,20924,3425,1136,362,7331,5443,10077,21915,551,121,13,613,1136
"Greece","Europe",2022-03-01,28,53,47,34,0,5,30,27,19,51,8,0,0,5,17
"Netherlands","Europe",2022-03-01,949,973,1420,502,126,43,790,406,557,1552,43,1,5,158,163
"Hungary","Europe",2022-03-01,720,644,1203,161,113,62,296,486,407,1290,7,0,1,16,50
"United Kingdom","Europe",2022-03-01,8442,7761,14967,1236,1405,627,5447,3670,5054,15437,359,18,2,185,202
"Ireland","Europe",2022-03-01,174,176,290,60,25,9,113,130,73,320,14,0,0,5,11
"Italy","Europe",2022-03-01,2614,3175,3914,1875,386,174,1522,1307,2400,4768,276,22,5,502,216
"Luxembourg","Europe",2022-03-01,125,131,205,51,17,6,139,47,47,224,3,0,0,10,19
"Norway","Europe",2022-03-01,107,128,156,79,23,11,90,48,63,200,4,1,6,16,8
"Poland","Europe",2022-03-01,3741,3102,6233,610,464,135,2302,2042,1900,6326,131,13,1,26,346
"Portugal","Europe",2022-03-01,1247,1142,2141,248,214,45,694,783,653,2241,43,3,1,39,62
"Czech Republic","Europe",2022-03-01,2209,1988,3655,542,428,271,905,1231,1362,3928,8,0,2,53,206
"Romania","Europe",2022-03-01,716,678,1224,170,96,24,595,450,229,1276,14,2,1,21,80
"Russia","Europe",2022-03-01,246,280,195,331,42,31,236,137,80,328,42,0,2,52,102
"Sweden","Europe",2022-03-01,102,142,157,87,21,11,82,73,57,198,12,0,0,23,11
"Switzerland","Europe",2022-03-01,2069,1923,3081,911,178,85,1682,733,1314,3126,142,6,2,302,414
"Ukraine","Europe",2022-03-01,216,128,106,238,44,26,170,54,50,250,3,0,0,56,35
"Other Europe","Europe",2022-03-01,1019,1200,1797,422,225,70,751,697,476,2001,57,3,1,42,115
"Australia","Australia",2022-03-01,33,58,46,45,10,2,33,20,26,56,15,0,0,8,12
"Other Rest of the World","Other",2022-03-01,98,154,139,113,9,9,125,57,52,174,30,4,0,14,30
"Dom. Residents",NA,2022-04-01,29442,23942,897,52487,3654,3766,14664,14815,16485,32538,1619,926,502,5385,12414
"Ext. Residents",NA,2022-04-01,4908,5856,1186,9578,1419,777,2574,2814,3180,6693,971,89,163,1017,1831
"Dom. Non-Residents",NA,2022-04-01,60101,52714,5575,107240,2243,4225,28830,31913,45604,70865,1575,214,276,31014,8871
"Canada","North America",2022-04-01,43098,36705,72209,7594,9019,4850,16530,19980,29424,77778,495,42,3,637,848
"United States","North America",2022-04-01,121403,112437,157509,76331,33674,19312,59428,63859,57567,201058,5990,1063,364,18588,6777
"Mexico","North America",2022-04-01,2240,2689,3680,1249,302,285,1793,1465,1084,3343,710,273,13,279,311
"Aruba","Caribbean",2022-04-01,98,138,78,158,48,20,40,38,90,116,3,10,4,62,41
"Turk and Caicos Islands","Caribbean",2022-04-01,139,238,149,228,33,25,86,119,114,236,21,2,0,52,66
"Costa Rica","Central America",2022-04-01,306,401,470,237,39,42,182,244,200,347,213,43,4,54,46
"Cuba","Caribbean",2022-04-01,254,310,197,367,18,46,119,153,228,212,60,25,1,133,133
"Curaçao","Caribbean",2022-04-01,201,256,163,294,58,65,92,107,135,281,21,4,4,53,94
"El Salvador","Central America",2022-04-01,196,179,251,124,21,30,116,134,74,234,52,9,0,29,51
"Guadeloupe","Caribbean",2022-04-01,214,347,242,319,63,53,106,134,205,312,42,38,3,104,62
"Guatemala","Central America",2022-04-01,523,627,915,235,104,85,395,330,236,806,170,51,2,37,84
"Haiti","Caribbean",2022-04-01,966,1179,837,1308,139,81,755,683,487,1197,169,37,21,356,365
"Honduras","Central America",2022-04-01,226,223,293,156,39,35,135,137,103,263,52,35,2,32,65
"Jamaica","Caribbean",2022-04-01,126,140,160,106,8,23,105,76,54,153,33,7,1,15,57
"Martinique","Caribbean",2022-04-01,202,317,315,204,74,21,121,116,187,342,21,17,0,78,61
"Panama","Central America",2022-04-01,827,1275,1328,774,140,108,720,714,420,1099,479,106,15,168,235
"Puerto Rico","Caribbean",2022-04-01,2686,3334,3262,2758,431,359,1387,1815,2028,4249,437,108,62,689,475
"Saint Martin","Caribbean",2022-04-01,94,135,63,166,47,28,39,51,64,127,0,1,0,71,30
"Trinidad and Tobago","Caribbean",2022-04-01,87,75,99,63,8,18,51,38,47,88,20,9,0,4,41
"U.S. Virgin Islands","Caribbean",2022-04-01,33,69,38,64,14,4,24,17,43,59,3,0,0,23,17
"Other America","North America",2022-04-01,421,533,487,467,87,120,288,254,205,475,70,15,2,103,289
"Argentina","South America",2022-04-01,7073,6503,12016,1560,1764,821,2392,3350,5249,13174,128,33,5,127,109
"Bolivia","South America",2022-04-01,392,309,578,123,82,38,225,173,183,657,7,6,0,15,16
"Brazil","South America",2022-04-01,2645,2587,4482,750,342,150,1909,1644,1187,4604,188,98,8,79,255
"Chile","South America",2022-04-01,4352,3632,6490,1494,1153,352,2261,2349,1869,7481,99,34,5,248,117
"Colombia","South America",2022-04-01,10078,8296,13498,4876,1642,983,5754,5217,4778,16264,658,513,21,494,424
"Ecuador","South America",2022-04-01,1698,1346,2181,863,327,268,1056,799,594,2740,100,65,5,80,54
"Peru","South America",2022-04-01,3101,2378,4522,957,466,522,1646,1500,1345,5082,123,61,1,78,134
"Uruguay","South America",2022-04-01,1228,1031,1994,265,344,140,522,618,635,2198,16,8,1,9,27
"Venezuela","South America",2022-04-01,2608,2959,1271,4296,414,777,1039,1219,2118,2528,293,72,43,413,2218
"Other South America","South America",2022-04-01,557,452,839,170,129,74,294,248,264,932,13,9,0,13,42
"China","Asia",2022-04-01,35,104,50,89,3,3,70,52,11,54,57,4,0,6,18
"South Korea","Asia",2022-04-01,20,72,57,35,0,3,23,31,35,43,42,0,0,1,6
"India","Asia",2022-04-01,12,69,36,45,1,2,28,25,25,22,28,2,0,2,27
"Israel","Asia",2022-04-01,204,211,337,78,54,28,172,83,78,348,12,6,1,15,33
"Japan","Asia",2022-04-01,15,16,8,23,1,1,9,12,8,1,9,0,0,14,7
"Taiwan","Asia",2022-04-01,2,2,2,2,1,0,2,0,1,3,1,0,0,0,0
"Other Asia","Asia",2022-04-01,149,433,233,349,10,17,286,194,75,253,63,7,0,31,228
"Germany","Europe",2022-04-01,9184,8751,15614,2321,1698,1195,5344,4207,5491,14496,596,12,8,499,2324
"Austria","Europe",2022-04-01,517,486,778,225,71,56,368,237,271,796,18,0,1,59,129
"Belgium","Europe",2022-04-01,2039,1735,3201,573,550,449,911,1002,862,3404,124,4,0,119,123
"Bulgaria","Europe",2022-04-01,374,292,594,72,64,43,193,205,161,629,2,0,0,3,32
"Denmark","Europe",2022-04-01,130,130,201,59,28,21,91,60,60,230,12,0,0,12,6
"Scotland","Europe",2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-04-01,7337,7405,10636,4106,1937,1132,3786,4109,3778,12143,664,85,36,1261,553
"Finland","Europe",2022-04-01,32,41,29,44,4,3,25,23,18,57,7,1,0,6,2
"France","Europe",2022-04-01,13141,11510,21650,3001,3872,2822,4875,7370,5712,22797,427,41,12,508,866
"Greece","Europe",2022-04-01,49,66,95,20,10,0,39,48,18,71,9,1,0,2,32
"Netherlands","Europe",2022-04-01,1493,1415,2107,801,507,302,825,765,509,2344,86,3,0,316,159
"Hungary","Europe",2022-04-01,268,258,442,84,65,43,101,189,128,505,5,1,0,5,10
"United Kingdom","Europe",2022-04-01,9544,8650,16974,1220,2806,1597,4815,5068,3908,17696,181,19,3,151,144
"Ireland","Europe",2022-04-01,184,168,289,63,68,25,110,104,45,330,6,0,0,13,3
"Italy","Europe",2022-04-01,3010,3238,4532,1716,589,370,1586,1590,2113,5457,167,37,6,432,149
"Luxembourg","Europe",2022-04-01,293,277,487,83,116,55,134,180,85,530,5,1,0,17,17
"Norway","Europe",2022-04-01,125,116,176,65,24,21,89,64,43,202,6,0,3,20,10
"Poland","Europe",2022-04-01,1655,1540,2870,325,324,166,980,1019,706,2933,50,1,0,32,179
"Portugal","Europe",2022-04-01,2760,2536,4792,504,845,470,1085,1737,1159,5108,54,6,3,21,104
"Czech Republic","Europe",2022-04-01,964,823,1562,225,154,91,503,525,514,1675,13,0,0,18,81
"Romania","Europe",2022-04-01,831,760,1425,166,255,111,386,601,238,1525,3,1,0,8,54
"Russia","Europe",2022-04-01,80,83,82,81,18,6,69,41,29,131,4,0,0,7,21
"Sweden","Europe",2022-04-01,100,131,184,47,23,17,67,59,65,199,17,0,0,13,2
"Switzerland","Europe",2022-04-01,3253,2968,4945,1276,938,648,1806,1527,1302,5096,129,4,0,452,540
