"Country","Date","Predicted"
"Chile",2025-01-01,14213
"Chile",2025-02-01,9971
"Chile",2025-03-01,10898
"Chile",2025-04-01,9936
"Chile",2025-05-01,9391
"Chile",2025-06-01,9927
"Colombia",2025-01-01,27461
"Colombia",2025-02-01,29557
"Colombia",2025-03-01,28673
"Colombia",2025-04-01,30645
"Colombia",2025-05-01,28201
"Colombia",2025-06-01,31503
"Ecuador",2025-01-01,4191
"Ecuador",2025-02-01,6133
"Ecuador",2025-03-01,4706
"Ecuador",2025-04-01,4702
"Ecuador",2025-05-01,5033
"Ecuador",2025-06-01,2643
"Peru",2025-01-01,6939
"Peru",2025-02-01,6098
"Peru",2025-03-01,5642
"Peru",2025-04-01,8473
"Peru",2025-05-01,5868
"Peru",2025-06-01,6104
"Uruguay",2025-01-01,3302
"Uruguay",2025-02-01,2752
"Uruguay",2025-03-01,2454
"Uruguay",2025-04-01,2308
"Uruguay",2025-05-01,2112
"Uruguay",2025-06-01,2065
"Venezuela",2025-01-01,4018
"Venezuela",2025-02-01,5195
"Venezuela",2025-03-01,5212
"Venezuela",2025-04-01,4623
"Venezuela",2025-05-01,4396
"Venezuela",2025-06-01,6590
"Other South America",2025-01-01,860
"Other South America",2025-02-01,817
"Other South America",2025-03-01,836
"Other South America",2025-04-01,968
"Other South America",2025-05-01,858
"Other South America",2025-06-01,909
"China",2025-01-01,351
"China",2025-02-01,307
"China",2025-03-01,345
"China",2025-04-01,320
"China",2025-05-01,386
"China",2025-06-01,358
"South Korea",2025-01-01,113
"South Korea",2025-02-01,111
"South Korea",2025-03-01,126
"South Korea",2025-04-01,123
"South Korea",2025-05-01,120
"South Korea",2025-06-01,119
"India",2025-01-01,173
"India",2025-02-01,195
"India",2025-03-01,230
"India",2025-04-01,187
"India",2025-05-01,168
"India",2025-06-01,168
"Israel",2025-01-01,238
"Israel",2025-02-01,274
"Israel",2025-03-01,361
"Israel",2025-04-01,308
"Israel",2025-05-01,193
"Israel",2025-06-01,233
"Japan",2025-01-01,70
"Japan",2025-02-01,76
"Japan",2025-03-01,73
"Japan",2025-04-01,80
"Japan",2025-05-01,79
"Japan",2025-06-01,82
"Taiwan",2025-01-01,28
"Taiwan",2025-02-01,24
"Taiwan",2025-03-01,23
"Taiwan",2025-04-01,21
"Taiwan",2025-05-01,22
"Taiwan",2025-06-01,20
"Other Asia",2025-01-01,658
"Other Asia",2025-02-01,755
"Other Asia",2025-03-01,744
"Other Asia",2025-04-01,725
"Other Asia",2025-05-01,795
"Other Asia",2025-06-01,878
"Germany",2025-01-01,7597
"Germany",2025-02-01,8378
"Germany",2025-03-01,9289
"Germany",2025-04-01,11506
"Germany",2025-05-01,14764
"Germany",2025-06-01,13587
"Austria",2025-01-01,820
"Austria",2025-02-01,503
"Austria",2025-03-01,473
"Austria",2025-04-01,765
"Austria",2025-05-01,1334
"Austria",2025-06-01,1395
"Belgium",2025-01-01,2878
"Belgium",2025-02-01,2148
"Belgium",2025-03-01,1780
"Belgium",2025-04-01,2333
"Belgium",2025-05-01,2222
"Belgium",2025-06-01,2522
"Bulgaria",2025-01-01,107
"Bulgaria",2025-02-01,109
"Bulgaria",2025-03-01,131
"Bulgaria",2025-04-01,212
"Bulgaria",2025-05-01,356
"Bulgaria",2025-06-01,410
"Denmark",2025-01-01,128
"Denmark",2025-02-01,131
"Denmark",2025-03-01,138
"Denmark",2025-04-01,183
"Denmark",2025-05-01,226
"Denmark",2025-06-01,200
"Spain",2025-01-01,16970
"Spain",2025-02-01,22703
"Spain",2025-03-01,14485
"Spain",2025-04-01,15470
"Spain",2025-05-01,13802
"Spain",2025-06-01,19974
"Finland",2025-01-01,29
"Finland",2025-02-01,42
"Finland",2025-03-01,72
"Finland",2025-04-01,33
"Finland",2025-05-01,131
"Finland",2025-06-01,141
"France",2025-01-01,9804
"France",2025-02-01,11558
"France",2025-03-01,5254
"France",2025-04-01,11478
"France",2025-05-01,11792
"France",2025-06-01,16700
"Greece",2025-01-01,49
"Greece",2025-02-01,71
"Greece",2025-03-01,92
"Greece",2025-04-01,68
"Greece",2025-05-01,99
"Greece",2025-06-01,112
"Netherlands",2025-01-01,2310
"Netherlands",2025-02-01,2161
"Netherlands",2025-03-01,1827
"Netherlands",2025-04-01,1898
"Netherlands",2025-05-01,2101
"Netherlands",2025-06-01,2355
"Hungary",2025-01-01,166
"Hungary",2025-02-01,145
"Hungary",2025-03-01,280
"Hungary",2025-04-01,365
"Hungary",2025-05-01,408
"Hungary",2025-06-01,769
"United Kingdom",2025-01-01,18121
"United Kingdom",2025-02-01,17603
"United Kingdom",2025-03-01,16197
"United Kingdom",2025-04-01,16102
"United Kingdom",2025-05-01,14102
"United Kingdom",2025-06-01,14624
"Ireland",2025-01-01,177
"Ireland",2025-02-01,323
"Ireland",2025-03-01,293
"Ireland",2025-04-01,296
"Ireland",2025-05-01,254
"Ireland",2025-06-01,295
"Italy",2025-01-01,6120
"Italy",2025-02-01,8476
"Italy",2025-03-01,3768
"Italy",2025-04-01,4523
"Italy",2025-05-01,6746
"Italy",2025-06-01,10063
"Luxembourg",2025-01-01,93
"Luxembourg",2025-02-01,185
"Luxembourg",2025-03-01,111
"Luxembourg",2025-04-01,129
"Luxembourg",2025-05-01,158
"Luxembourg",2025-06-01,211
"Norway",2025-01-01,196
"Norway",2025-02-01,120
"Norway",2025-03-01,161
"Norway",2025-04-01,177
"Norway",2025-05-01,203
"Norway",2025-06-01,195
"Poland",2025-01-01,975
"Poland",2025-02-01,728
"Poland",2025-03-01,1382
"Poland",2025-04-01,1473
"Poland",2025-05-01,5494
"Poland",2025-06-01,6680
"Portugal",2025-01-01,7115
"Portugal",2025-02-01,9435
"Portugal",2025-03-01,5810
"Portugal",2025-04-01,4126
"Portugal",2025-05-01,1770
"Portugal",2025-06-01,1577
"Czech Republic",2025-01-01,85
"Czech Republic",2025-02-01,147
"Czech Republic",2025-03-01,599
"Czech Republic",2025-04-01,1042
"Czech Republic",2025-05-01,3521
"Czech Republic",2025-06-01,3124
"Romania",2025-01-01,146
"Romania",2025-02-01,231
"Romania",2025-03-01,327
"Romania",2025-04-01,486
"Romania",2025-05-01,582
"Romania",2025-06-01,634
"Russia",2025-01-01,1136
"Russia",2025-02-01,1967
"Russia",2025-03-01,2693
"Russia",2025-04-01,3325
"Russia",2025-05-01,3885
"Russia",2025-06-01,4343
"Sweden",2025-01-01,152
"Sweden",2025-02-01,101
"Sweden",2025-03-01,104
"Sweden",2025-04-01,196
"Sweden",2025-05-01,347
"Sweden",2025-06-01,765
